word,count
regardent,2232.18
rester,2231.5
demander,2227.75
TRUE,2227.46
laisses,2227.05
laissée,2227.02
laissent,2223.19
soir,2221.42
laisserai,2219.79
regardée,2213.82
laissons,2213.14
maison,2212.94
laissaient,2211.26
regardèrent,2211.2
regardai,2210.75
attendait,2210.26
avant,2207.66
nos,2207.64
regardons,2206.71
laissera,2206.05
laissais,2202.55
laissés,2202.03
regardés,2201.87
regardera,2200.24
regardions,2200.15
regarderai,2199.58
laisserait,2199.55
regardiez,2198.27
regarderait,2197.91
regarderas,2196.97
regarderont,2196.95
regarderais,2196.7
regardées,2196.55
regardâmes,2196.48
regarderez,2196.07
regarderaient,2195.97
regarderons,2195.95
laisserais,2195.76
regardât,2195.54
regarderiez,2195.53
regarderions,2195.41
laissées,2195.13
laissai,2194.17
laisseront,2193.89
laissèrent,2190.8
laisseras,2189.58
laisserons,2189.39
oh,2189.22
laissiez,2188.99
laisseraient,2188.97
laisserez,2188.8
laissions,2188.69
laissât,2188.63
laisseriez,2187.12
laissâmes,2186.19
laisserions,2186.09
laissassent,2185.72
puis,2185.22
mettez,2183.85
comment,2175.72
beaucoup,2174.84
mettait,2174.23
attendant,2173.96
mise,2170.57
demanda,2168.87
donna,2158.24
attendais,2154.26
partir,2153.67
donnent,2151.71
donnes,2145.34
donnant,2145.29
grands,2144.45
donnaient,2143.24
donnerai,2142.53
donnée,2141.15
quelques,2139.84
donnera,2139.27
moment,2136.7
attendu,2131.26
enfant,2130.49
mettent,2129.77
donnerait,2125.19
donnerais,2122.54
donnés,2119.56
donnais,2118.48
mette,2117.88
connais,2117.51
mirent,2117.29
attendent,2116.92
donc,2116.78
données,2114.73
mettant,2114.57
donnons,2114.3
mettons,2113.67
donneras,2112.99
donnerez,2111.68
donnai,2111.41
donneront,2111.25
mettra,2111.17
voilà,2111.12
donnèrent,2111.02
donniez,2110
mettaient,2109.75
donnerons,2109.25
donnât,2109.08
donneraient,2108.81
donnions,2108.16
donneriez,2107.07
donnâmes,2106.02
donnerions,2105.87
donnassent,2105.82
donnas,2105.72
mettrai,2105.56
mettais,2103.17
mises,2102.96
arrivait,2102.62
mettrait,2101.1
mieux,2100.22
mettrais,2096.57
attendaient,2096.04
mettras,2094.57
mettes,2092.97
mît,2092.06
mettront,2091.87
mettrez,2091.8
mettraient,2091.79
mettiez,2091.46
mettrons,2091.36
mettions,2090.98
mîmes,2089.97
mettriez,2089.56
missent,2088.96
mettrions,2088.8
missions,2088.56
attendit,2087.29
attendons,2085.78
trois,2082.28
attendrai,2082.18
ni,2080
attendra,2069.42
attendions,2067.87
attendue,2067.23
attende,2066.71
attendiez,2066.23
attendis,2063.68
